"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,8.241656097,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,8.254651382,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,7.276663806,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,8.262714811,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,7.684207606,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,8.143803549,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,7.542447807,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,7.8610461,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,7.326286869,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,7.172579368,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,7.658526216,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,7.908159964,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,7.606450686,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,7.175027369,,
"ISL","Iceland","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,7.250835483,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,5.140636882,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,4.616212529,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,4.576279823,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,4.670264789,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,4.494500622,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,5.011514734,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,4.426355966,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,4.187196315,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,3.922618753,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,5.185722425,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,6.611789389,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,7.220876623,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,6.805051048,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,6.488809147,,
"SVN","Slovenia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","WOMEN","Women","TOTAL","Total","2014","2014","PC","Percentage","0","Units",,,6.653389769,,
"EST","Estonia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,11.25771444,,
"EST","Estonia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","MEN","Men","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,10.29470685,,
"EST","Estonia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","MEN","Men","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,16.59154286,,
"EST","Estonia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","MEN","Men","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,14.839069,,
"EST","Estonia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,14.54375927,,
"EST","Estonia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","MEN","Men","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,12.83635089,,
"EST","Estonia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","MEN","Men","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,13.11289121,,
"EST","Estonia","SELF_TERTIARY_EDU","Share of self-employed in the population of employed with tertiary education","MEN","Men","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,13.4106859,,
