"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2000","2000","PC","Percentage","0","Units",,,5.573263102,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2001","2001","PC","Percentage","0","Units",,,5.321314312,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2002","2002","PC","Percentage","0","Units",,,5.509807123,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2003","2003","PC","Percentage","0","Units",,,5.786805549,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2004","2004","PC","Percentage","0","Units",,,6.064306873,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2005","2005","PC","Percentage","0","Units",,,5.903370126,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2006","2006","PC","Percentage","0","Units",,,5.967448297,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2007","2007","PC","Percentage","0","Units",,,6.0438444,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2008","2008","PC","Percentage","0","Units",,,5.869903211,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2009","2009","PC","Percentage","0","Units",,,6.053935276,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2010","2010","PC","Percentage","0","Units",,,6.777960673,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2011","2011","PC","Percentage","0","Units",,,7.350827602,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2012","2012","PC","Percentage","0","Units",,,7.714722515,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2013","2013","PC","Percentage","0","Units",,,7.317303037,,
"CZE","Czech Republic","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2014","2014","PC","Percentage","0","Units",,,7.361496724,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2000","2000","PC","Percentage","0","Units",,,3.967158723,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2001","2001","PC","Percentage","0","Units",,,3.842230104,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2002","2002","PC","Percentage","0","Units",,,3.772660536,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2003","2003","PC","Percentage","0","Units",,,3.936889098,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2004","2004","PC","Percentage","0","Units",,,4.238654904,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2005","2005","PC","Percentage","0","Units",,,4.385009543,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2006","2006","PC","Percentage","0","Units",,,4.347906646,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2007","2007","PC","Percentage","0","Units",,,4.147774864,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2008","2008","PC","Percentage","0","Units",,,4.001310688,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2009","2009","PC","Percentage","0","Units",,,3.875208954,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2010","2010","PC","Percentage","0","Units",,,3.86000241,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2011","2011","PC","Percentage","0","Units",,,3.867582057,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2012","2012","PC","Percentage","0","Units",,,3.781810735,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2013","2013","PC","Percentage","0","Units",,,3.652187754,,
"DEU","Germany","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2014","2014","PC","Percentage","0","Units",,,3.50888686,,
"MEX","Mexico","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2013","2013","PC","Percentage","0","Units",,,6.863088,,
"MEX","Mexico","ENT12","Share of self-employed in the population of employed below 30","MEN","Men","15-29","15-29","2014","2014","PC","Percentage","0","Units",,,6.863088,,
"NLD","Netherlands","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2000","2000","PC","Percentage","0","Units",,,3.015793775,,
"NLD","Netherlands","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2001","2001","PC","Percentage","0","Units",,,2.774481355,,
"NLD","Netherlands","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2002","2002","PC","Percentage","0","Units",,,2.563488143,,
"NLD","Netherlands","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2003","2003","PC","Percentage","0","Units",,,2.640245258,,
"NLD","Netherlands","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2004","2004","PC","Percentage","0","Units",,,2.717738707,,
"NLD","Netherlands","ENT12","Share of self-employed in the population of employed below 30","WOMEN","Women","15-29","15-29","2005","2005","PC","Percentage","0","Units",,,2.845349141,,
