"COU","Country","IND","Indicator","SEX","Sex","AGE","Age Group","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","EDU_PAR_FNF_FE_S","Participation in formal and/or non-formal education, Formal education, standard error","ALL","All","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,0.367535353,,
"FIN","Finland","EDU_PAR_FNF_FEO_S","Participation in formal and/or non-formal education, Formal education only, standard error","ALL","All","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,0.3,,
"IRL","Ireland","EDU_PAR_FNF_FNF_S","Participation in formal and/or non-formal education, Both formal and non-formal, standard error","WOMEN","Women","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,0.547854205,,
"CAN","Canada","EDU_PAR_FNF_NOP_P","Participation in formal and/or non-formal education, No participation, percentage","WOMEN","Women","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,42.46038037,,
"FRA","France","EDU_PAR_FNF_FEO_S","Participation in formal and/or non-formal education, Formal education only, standard error","MEN","Men","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,0.3,,
"POL","Poland","EDU_PAR_FNF_FE_P","Participation in formal and/or non-formal education, Formal education, percentage","MEN","Men","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,5.988155042,,
"EST","Estonia","EDU_PAR_FNF_FNF_P","Participation in formal and/or non-formal education, Both formal and non-formal, percentage","WOMEN","Women","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,7.889446971,,
"USA","United States","EDU_PAR_FNF_FE_P","Participation in formal and/or non-formal education, Formal education, percentage","WOMEN","Women","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,16.08150224,,
"ITA","Italy","EDU_PAR_FNF_NFO_S","Participation in formal and/or non-formal education, Non-formal education only, standard error","WOMEN","Women","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,0.8,,
"DEU","Germany","EDU_PAR_FNF_NOP_S","Participation in formal and/or non-formal education, No participation, standard error","ALL","All","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,1.048500672,,
"FRA","France","EDU_PAR_FNF_NF_S","Participation in formal and/or non-formal education, Non-formal, standard error","ALL","All","25-64","25-64","2012","2012","PC","Percentage","0","Units",,,0.630868721,,
