"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2000","2000","PC","Percentage","0","Units",,,11.21822927,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2001","2001","PC","Percentage","0","Units",,,10.28104957,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2002","2002","PC","Percentage","0","Units",,,9.386422149,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2003","2003","PC","Percentage","0","Units",,,9.230777366,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2004","2004","PC","Percentage","0","Units",,,8.929724558,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2005","2005","PC","Percentage","0","Units",,,9.059324627,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2006","2006","PC","Percentage","0","Units",,,9.037180885,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2007","2007","PC","Percentage","0","Units",,,9.294785897,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2008","2008","PC","Percentage","0","Units",,,9.322009023,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2009","2009","PC","Percentage","0","Units",,,8.958996593,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2010","2010","PC","Percentage","0","Units",,,8.658404792,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2011","2011","PC","Percentage","0","Units",,,8.726386246,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2012","2012","PC","Percentage","0","Units",,,9.211357377,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2013","2013","PC","Percentage","0","Units",,,9.521635292,,
"BEL","Belgium","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","MEN","Men","15-29","15-29","2014","2014","PC","Percentage","0","Units",,,9.688195855,,
"USA","United States","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","WOMEN","Women","15-29","15-29","2000","2000","PC","Percentage","0","Units",,,18.3593835,,
"USA","United States","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","WOMEN","Women","15-29","15-29","2001","2001","PC","Percentage","0","Units",,,17.6653875,,
"USA","United States","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","WOMEN","Women","15-29","15-29","2002","2002","PC","Percentage","0","Units",,,17.4500205,,
"USA","United States","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","WOMEN","Women","15-29","15-29","2003","2003","PC","Percentage","0","Units",,,17.1801865,,
"USA","United States","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","WOMEN","Women","15-29","15-29","2004","2004","PC","Percentage","0","Units",,,17.1276195,,
"USA","United States","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","WOMEN","Women","15-29","15-29","2005","2005","PC","Percentage","0","Units",,,17.6235305,,
"USA","United States","SELF_YOUNG_SELF","Share of self-employed who are less than 30 years old","WOMEN","Women","15-29","15-29","2006","2006","PC","Percentage","0","Units",,,17.531768,,
