"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,46.67472793,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","1996","1996","PC","Percentage","0","Units",,,49.28600571,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","1997","1997","PC","Percentage","0","Units",,,51.22244489,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","1998","1998","PC","Percentage","0","Units",,,52.44865719,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","1999","1999","PC","Percentage","0","Units",,,52.79106858,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,52.09320695,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,53.61586314,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,54.83996877,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,56.24523991,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,55.82417582,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,57.6550735,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,57.77777778,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,58.51216023,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2008","2008","PC","Percentage","0","Units",,,54.10593672,"B","Break"
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2009","2009","PC","Percentage","0","Units",,,57.01661364,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2010","2010","PC","Percentage","0","Units",,,56.54124957,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2011","2011","PC","Percentage","0","Units",,,55.57122708,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2012","2012","PC","Percentage","0","Units",,,54.13694722,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,54.5614653,,
"AUT","Austria","ENT11","Share of self-employed in services","MEN","Men","TOTAL","Total","LATE-BT","Latest","PC","Percentage","0","Units",,,56.76917639,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","1995","1995","PC","Percentage","0","Units",,,46.38329605,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","1996","1996","PC","Percentage","0","Units",,,44.87658938,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","1997","1997","PC","Percentage","0","Units",,,48.66352201,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","1998","1998","PC","Percentage","0","Units",,,48.76589379,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","1999","1999","PC","Percentage","0","Units",,,50.99337748,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","2000","2000","PC","Percentage","0","Units",,,54.37262357,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","2001","2001","PC","Percentage","0","Units",,,56.26865672,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","2002","2002","PC","Percentage","0","Units",,,57.92592593,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","2003","2003","PC","Percentage","0","Units",,,56.70553936,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","2004","2004","PC","Percentage","0","Units",,,59.68349661,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","2005","2005","PC","Percentage","0","Units",,,60.38001407,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","2006","2006","PC","Percentage","0","Units",,,60.58495822,,
"AUT","Austria","ENT11","Share of self-employed in services","WOMEN","Women","TOTAL","Total","2007","2007","PC","Percentage","0","Units",,,64.44892473,,
