"LOCATION","Country","INDICATOR","Indicator","SEX","Sex","AGE","Age","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","GAL_RISK","Attitude towards entrepreneurial risk","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,53.77158027,,
"AUS","Australia","GAL_RISK","Attitude towards entrepreneurial risk","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,45.30498244,,
"AUT","Austria","GAL_RISK","Attitude towards entrepreneurial risk","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,39.00227637,,
"AUT","Austria","GAL_RISK","Attitude towards entrepreneurial risk","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,23.72557546,,
"BEL","Belgium","GAL_RISK","Attitude towards entrepreneurial risk","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,45.31432563,,
"BEL","Belgium","GAL_RISK","Attitude towards entrepreneurial risk","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,31.19246171,,
"CAN","Canada","GAL_RISK","Attitude towards entrepreneurial risk","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,61.09769394,,
"CAN","Canada","GAL_RISK","Attitude towards entrepreneurial risk","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,56.68230241,,
"CZE","Czech Republic","GAL_RISK","Attitude towards entrepreneurial risk","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,37.72557637,,
"CZE","Czech Republic","GAL_RISK","Attitude towards entrepreneurial risk","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,27.49148757,,
"DNK","Denmark","GAL_RISK","Attitude towards entrepreneurial risk","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,36.12436652,,
"DNK","Denmark","GAL_RISK","Attitude towards entrepreneurial risk","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,21.58246716,,
"FIN","Finland","GAL_RISK","Attitude towards entrepreneurial risk","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,35.69778264,,
"FIN","Finland","GAL_RISK","Attitude towards entrepreneurial risk","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,16.90625046,,
"FRA","France","GAL_RISK","Attitude towards entrepreneurial risk","MEN","Men","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,54.65098298,,
"FRA","France","GAL_RISK","Attitude towards entrepreneurial risk","WOMEN","Women","TOTAL","Total","2013","2013","PC","Percentage","0","Units",,,40.53269407,,
