Czech_Republic	Gender_wage_gap	2005	0.161
Poland	Gender_wage_gap	2008	0.13
Portugal	Gender_wage_gap	2006	0.144
Canada	Gender_wage_gap	2002	0.24
Japan	Gender_wage_gap	2012	0.265
Slovak_Republic	Gender_wage_gap	2009	0.164
Finland	Gender_wage_gap	2007	0.214
Norway	Gender_wage_gap	2009	0.087
Hungary	Gender_wage_gap	2009	0.039
Norway	Gender_wage_gap	2003	0.102
Mexico	Gender_wage_gap	2013	0.154
Slovak_Republic	Gender_wage_gap	2011	0.155
Czech_Republic	Gender_wage_gap	2012	0.154
Israel	Gender_wage_gap	2004	0.255
Finland	Gender_wage_gap	2012	0.187
Czech_Republic	Gender_wage_gap	2008	0.18
Germany	Gender_wage_gap	2011	0.171
Korea	Gender_wage_gap	2001	0.404
Switzerland	Gender_wage_gap	2012	0.165
United_States	Gender_wage_gap	2004	0.196
Portugal	Gender_wage_gap	2005	0.16
United_Kingdom	Gender_wage_gap	2001	0.256
Belgium	Gender_wage_gap	2003	0.152
Netherlands	Gender_wage_gap	2010	0.205
Austria	Gender_wage_gap	2006	0.219
Canada	Gender_wage_gap	2014	0.192
Ireland	Gender_wage_gap	2012	0.083
Australia	Gender_wage_gap	2011	0.16
Hungary	Gender_wage_gap	2007	0.036
Australia	Gender_wage_gap	2006	0.167
Lithuania	Gender_wage_gap	2006	0.142
Hungary	Gender_wage_gap	2011	0.069
Switzerland	Gender_wage_gap	2002	0.212
Greece	Gender_wage_gap	2010	0.122
France	Gender_wage_gap	2005	0.144
Hungary	Gender_wage_gap	2005	0.04
France	Gender_wage_gap	2010	0.141
Denmark	Gender_wage_gap	2011	0.079
Japan	Gender_wage_gap	2013	0.266
Japan	Gender_wage_gap	2009	0.283
Australia	Gender_wage_gap	2000	0.172
United_States	Gender_wage_gap	2012	0.191
Mexico	Gender_wage_gap	2006	0.186
Mexico	Gender_wage_gap	2007	0.125
Australia	Gender_wage_gap	2003	0.13
Canada	Gender_wage_gap	2000	0.239
Finland	Gender_wage_gap	2001	0.212
Germany	Gender_wage_gap	2008	0.174
Belgium	Gender_wage_gap	2009	0.075
Austria	Gender_wage_gap	2009	0.194
New_Zealand	Gender_wage_gap	2009	0.078
Greece	Gender_wage_gap	2008	0.095
Germany	Gender_wage_gap	2002	0.191
Poland	Gender_wage_gap	2005	0.11
Poland	Gender_wage_gap	2002	0.113
Australia	Gender_wage_gap	2012	0.138
Iceland	Gender_wage_gap	2010	0.143
Norway	Gender_wage_gap	2008	0.092
Japan	Gender_wage_gap	2005	0.328
Italy	Gender_wage_gap	2010	0.111
Czech_Republic	Gender_wage_gap	2000	0.191
Canada	Gender_wage_gap	2007	0.208
Korea	Gender_wage_gap	2006	0.398
Japan	Gender_wage_gap	2006	0.33
Belgium	Gender_wage_gap	2013	0.059
Iceland	Gender_wage_gap	2013	0.145
United_States	Gender_wage_gap	2006	0.192
Slovak_Republic	Gender_wage_gap	2008	0.164
Germany	Gender_wage_gap	2009	0.17
Netherlands	Gender_wage_gap	2006	0.183
Finland	Gender_wage_gap	2008	0.212
Japan	Gender_wage_gap	2002	0.325
Norway	Gender_wage_gap	2014	0.063
Spain	Gender_wage_gap	2011	0.083
Sweden	Gender_wage_gap	2011	0.159
Austria	Gender_wage_gap	2005	0.22
Czech_Republic	Gender_wage_gap	2002	0.161
Ireland	Gender_wage_gap	2010	0.128
Australia	Gender_wage_gap	2001	0.143
Spain	Gender_wage_gap	2008	0.118
New_Zealand	Gender_wage_gap	2001	0.081
Mexico	Gender_wage_gap	2008	0.222
Mexico	Gender_wage_gap	2014	0.183
Ireland	Gender_wage_gap	2007	0.18
Portugal	Gender_wage_gap	2008	0.156
Belgium	Gender_wage_gap	2005	0.115
Korea	Gender_wage_gap	2000	0.417
United_Kingdom	Gender_wage_gap	2006	0.217
Australia	Gender_wage_gap	2002	0.15
Norway	Gender_wage_gap	2001	0.107
Israel	Gender_wage_gap	2007	0.212
Mexico	Gender_wage_gap	2010	0.116
United_Kingdom	Gender_wage_gap	2012	0.178
Portugal	Gender_wage_gap	2010	0.135
Israel	Gender_wage_gap	2005	0.224
Austria	Gender_wage_gap	2003	0.211
Korea	Gender_wage_gap	2005	0.396
Greece	Gender_wage_gap	2013	0.113
Sweden	Gender_wage_gap	2002	0.159
Belgium	Gender_wage_gap	2004	0.118
Japan	Gender_wage_gap	2001	0.339
France	Gender_wage_gap	2007	0.14
Hungary	Gender_wage_gap	2004	0.03
Hungary	Gender_wage_gap	2006	0.004
Australia	Gender_wage_gap	2005	0.158
New_Zealand	Gender_wage_gap	2005	0.096
Israel	Gender_wage_gap	2002	0.245
United_Kingdom	Gender_wage_gap	2005	0.221
New_Zealand	Gender_wage_gap	2013	0.056
