Belgium	Successful_completion_of_upper_secondary_programmes	Various_Years	0.738394340291
France	Successful_completion_of_upper_secondary_programmes	Various_Years	0.560193885378
Canada	Successful_completion_of_upper_secondary_programmes	Various_Years	0.449875465729
Denmark	Successful_completion_of_upper_secondary_programmes	Various_Years	0.538384734721
Netherlands	Successful_completion_of_upper_secondary_programmes	Various_Years	0.521104283064
Norway	Successful_completion_of_upper_secondary_programmes	Various_Years	1.0
Spain	Successful_completion_of_upper_secondary_programmes	Various_Years	0.409112101474
Italy	Successful_completion_of_upper_secondary_programmes	Various_Years	0.862332069633
Ireland	Successful_completion_of_upper_secondary_programmes	Various_Years	0.20735737341
Korea	Successful_completion_of_upper_secondary_programmes	Various_Years	0.0634417520686
Mexico	Successful_completion_of_upper_secondary_programmes	Various_Years	0.483885925784
Slovak_Republic	Successful_completion_of_upper_secondary_programmes	Various_Years	0.0
New_Zealand	Successful_completion_of_upper_secondary_programmes	Various_Years	0.459691060904
Greece	Successful_completion_of_upper_secondary_programmes	Various_Years	0.273324411278
OECD_-_Average	Successful_completion_of_upper_secondary_programmes	Various_Years	0.504987940478
Iceland	Successful_completion_of_upper_secondary_programmes	Various_Years	0.856447146021
Japan	Successful_completion_of_upper_secondary_programmes	Various_Years	0.0438769955324
Israel	Successful_completion_of_upper_secondary_programmes	Various_Years	0.76467306954
Luxembourg	Successful_completion_of_upper_secondary_programmes	Various_Years	0.565281028199
Hungary	Successful_completion_of_upper_secondary_programmes	Various_Years	0.298591214558
United_Kingdom	Successful_completion_of_upper_secondary_programmes	Various_Years	0.515090640306
Finland	Successful_completion_of_upper_secondary_programmes	Various_Years	0.120876302758
Austria	Successful_completion_of_upper_secondary_programmes	Various_Years	0.669716873418
Slovenia	Successful_completion_of_upper_secondary_programmes	Various_Years	0.337187785129
Turkey	Successful_completion_of_upper_secondary_programmes	Various_Years	0.8634842241
Chile	Successful_completion_of_upper_secondary_programmes	Various_Years	0.370590626933
Sweden	Successful_completion_of_upper_secondary_programmes	Various_Years	0.212496725211
United_States	Successful_completion_of_upper_secondary_programmes	Various_Years	0.33600332013
Poland	Successful_completion_of_upper_secondary_programmes	Various_Years	0.743382532958
Estonia	Successful_completion_of_upper_secondary_programmes	Various_Years	0.330981325428
